catalog,well,plate,order,family,genus,species,date,dates_corr,year,orders
CASENT9132509,H4,CAS_P29,Plecoptera,Nemouridae,Malenka,californica,7/15/1982,2019-07-15,2019,Plecoptera
CASENT9131606,A5,CAS_P29,Plecoptera,Nemouridae,Malenka,californica,7/15/1982,2019-07-15,2019,Plecoptera
CASENT9131618,B5,CAS_P29,Plecoptera,Nemouridae,Malenka,sp.,7/15/1982,2019-07-15,2019,Plecoptera
CASENT9131577,D5,CAS_P29,Trichoptera,Lepidostomatidae,Lepidostoma,sp.,4/1/1983,2019-04-01,2019,Trichoptera
CASENT9131712,E5,CAS_P29,Ephemeroptera,Baetidae,Baetis,intermedius,5/4/1983,2019-05-04,2019,Ephemeroptera
CASENT9132271,F5,CAS_P29,Ephemeroptera,Baetidae,Baetis,intermedius,5/4/1983,2019-05-04,2019,Ephemeroptera
CASENT9131802,G5,CAS_P29,Ephemeroptera,Baetidae,Baetis,intermedius,5/4/1983,2019-05-04,2019,Ephemeroptera
CASENT9132821,H5,CAS_P29,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,debilis,9/17/1982,2019-09-17,2019,Ephemeroptera
CASENT9131523,A6,CAS_P29,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,debilis,9/17/1982,2019-09-17,2019,Ephemeroptera
CASENT9132696,B6,CAS_P29,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,debilis,9/17/1982,2019-09-17,2019,Ephemeroptera
CASENT9132741,C6,CAS_P29,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,debilis,10/6/1980,2019-10-06,2019,Ephemeroptera
CASENT9132607,G6,CAS_P29,Trichoptera,Glossosomatidae,Anagapetus,sp.,3/2/1983,2019-03-02,2019,Trichoptera
CASENT9132804,H6,CAS_P29,Trichoptera,Glossosomatidae,Anagapetus,sp.,3/2/1983,2019-03-02,2019,Trichoptera
CASENT9132175,A7,CAS_P29,Trichoptera,Glossosomatidae,Anagapetus,sp.,2/17/1983,2019-02-17,2019,Trichoptera
CASENT9131524,B7,CAS_P29,Trichoptera,Limnephilidae,Clostoeca,disjunctus,2/8/1984,2019-02-08,2019,Trichoptera
CASENT9132665,F7,CAS_P29,Plecoptera,Chloroperlidae,Sweltsa,fidelis,4/17/1983,2019-04-17,2019,Plecoptera
CASENT9132634,G7,CAS_P29,Plecoptera,Chloroperlidae,Sweltsa,fidelis,4/17/1983,2019-04-17,2019,Plecoptera
CASENT9131658,H7,CAS_P29,Diptera,Simuliidae,Cnephia,minus,7/3/1983,2019-07-03,2019,Diptera
CASENT9131596,F8,CAS_P29,Diptera,Chaoboridae,Chaoborus,sp.,4/10/15,2015-04-10,2015,Diptera
CASENT9131881,G8,CAS_P29,Diptera,Chaoboridae,Chaoborus,sp.,1/29/13,2013-01-29,2013,Diptera
CASENT9132949,H8,CAS_P29,Diptera,Chaoboridae,Chaoborus,sp.,10/1/10,2010-10-01,2010,Diptera
CASENT9131708,A9,CAS_P29,Trichoptera,Philopotamidae,Dolophilodes,novusamericanus,5/9/1983,2019-05-09,2019,Trichoptera
CASENT9131874,B9,CAS_P29,Ephemeroptera,Ephemerellidae,Matriella,teresa,5/29/1983,2019-05-29,2019,Ephemeroptera
CASENT9131877,C9,CAS_P29,Ephemeroptera,Heptageniidae,Heptagenia,sp.,7/15/1982,2019-07-15,2019,Ephemeroptera
CASENT9131899,H9,CAS_P29,Odonata,Libellulidae,NA,NA,3/17/16,2016-03-17,2016,Odonata
CASENT9131713,A10,CAS_P29,NA,Libellulide,NA,NA,3/17/16,2016-03-17,2016,NA
CASENT9131564,C10,CAS_P29,Odonata,Gomphidae,Ophiogomphus,bison,7/13/12,2012-07-13,2012,Odonata
CASENT9131447,D10,CAS_P29,Ephemeroptera,Baetidae,Callibaetis,pictus,10/12/80,1980-10-12,1980,Ephemeroptera
CASENT9131705,E10,CAS_P29,Ephemeroptera,Baetidae,Callibaetis,pictus,6/11/80,1980-06-11,1980,Ephemeroptera
CASENT9131610,F10,CAS_P29,Ephemeroptera,Baetidae,Callibaetis,pictus,6/30/80,1980-06-30,1980,Ephemeroptera
CASENT9131451,G10,CAS_P29,Ephemeroptera,Baetidae,Callibaetis,pictus,5/2/1980,2019-05-02,2019,Ephemeroptera
CASENT9131882,D11,CAS_P29,Odonata,Gomphidae,NA,NA,8/13/06,2006-08-13,2006,Odonata
CASENT9131876,E11,CAS_P29,Ephemeroptera,Baetidae,Callibaetis,ferrugineus,4/9/81,1981-04-09,1981,Ephemeroptera
CASENT9131801,F11,CAS_P29,Plecoptera,Capniidae,Capnura,wanica,1/13/06,2006-01-13,2006,Plecoptera
CASENT9131456,A1,CAS_P33,Trichoptera,Philopotamidae,Wormaldia,gabriella,7/15/1982,2019-07-15,2019,Trichoptera
CASENT9132807,B1,CAS_P33,Trichoptera,Philopotamidae,Wormaldia,gabriella,9/30/1982,2019-09-30,2019,Trichoptera
CASENT9131570,C1,CAS_P33,Trichoptera,Philopotamidae,Wormaldia,gabriella,9/30/1982,2019-09-30,2019,Trichoptera
CASENT9131487,D1,CAS_P33,Trichoptera,Brachycentridae,Amiocentrus,aspilus,3/27/1982,2019-03-27,2019,Trichoptera
CASENT9131790,E1,CAS_P33,Trichoptera,Brachycentridae,Amiocentrus,aspilus,3/27/1982,2019-03-27,2019,Trichoptera
CASENT9131792,G1,CAS_P33,Trichoptera,Brachycentridae,Amiocentrus,aspilus,3/27/1982,2019-03-27,2019,Trichoptera
CASENT9131608,H1,CAS_P33,Ephemeroptera,Heptageniidae,Rhithrogena,morrisoni,1/11/1983,2019-01-11,2019,Ephemeroptera
CASENT9132794,A5,CAS_P33,Trichoptera,Hydropsychidae,Hydropsyche,philo,5/4/1983,2019-05-04,2019,Trichoptera
CASENT9132468,B5,CAS_P33,Trichoptera,Hydropsychidae,Hydropsyche,philo,5/4/1983,2019-05-04,2019,Trichoptera
CASENT9132702,C5,CAS_P33,Trichoptera,Hydropsychidae,Hydropsyche,philo,5/4/1983,2019-05-04,2019,Trichoptera
CASENT9131640,D5,CAS_P33,Trichoptera,Limnephilidae,Clostoeca,disjunctus,2/8/1984,2019-02-08,2019,Trichoptera
CASENT9132319,E5,CAS_P33,Trichoptera,Limnephilidae,Clostoeca,disjunctus,2/8/1984,2019-02-08,2019,Trichoptera
CASENT9132492,F5,CAS_P33,Plecoptera,Chloroperlidae,Sweltsa,fidelis,4/17/1983,2019-04-17,2019,Plecoptera
CASENT9131452,G5,CAS_P33,Odonata,Gomphidae,Octogomphus,specularis,6/5/19,2019-06-05,2019,Odonata
CASENT9131605,H5,CAS_P33,Odonata,Gomphidae,Ophiogomphus,sp.,8/3/05,2005-08-03,2005,Odonata
CASENT9132320,A6,CAS_P33,Odonata,Gomphidae,Ophiogomphus,sp.,2/4/09,2009-02-04,2009,Odonata
CASENT9131880,B6,CAS_P33,Odonata,Libellulidae,NA,NA,4/5/01,2001-04-05,2001,Odonata
CASENT9131609,C6,CAS_P33,Odonata,Libellulidae,Sympetrum,sp.,4/10/15,2015-04-10,2015,Odonata
CASENT9131648,D6,CAS_P33,Odonata,Cordulegastridae,Cordulegaster,dorsalis,9/13/18,2018-09-13,2018,Odonata
CASENT9131872,E6,CAS_P33,Odonata,Gomphidae,Gomphus,kurilis,10/3/08,2008-10-03,2008,Odonata
CASENT9131444,F6,CAS_P33,Odonata,Gomphidae,Gomphus,kurilis,2/4/09,2009-02-04,2009,Odonata
CASENT9131450,G6,CAS_P33,Odonata,Gomphidae,Octogomphus,specularis,10/25/81,1981-10-25,1981,Odonata
CASENT9131794,H6,CAS_P33,Diptera,Muscidae,Caricea,sp.,5/1/19,2019-05-01,2019,Diptera
CASENT9131508,A7,CAS_P33,Diptera,Muscidae,Limnophora,sp.,8/25/10,2010-08-25,2010,Diptera
CASENT9132622,B7,CAS_P33,Diptera,Tabanidae,Apatolestes,comastes,10/14/10,2010-10-14,2010,Diptera
CASENT9131997,C7,CAS_P33,Diptera,Chaoboridae,Eucorethra,underwoodi,9/16/10,2010-09-16,2010,Diptera
CASENT9131462,D7,CAS_P33,Diptera,Stratiomyidae,Odontomyia,sp.,7/26/06,2006-07-26,2006,Diptera
CASENT9131750,E7,CAS_P33,Diptera,Stratiomyidae,Caloparyphus,sp.,4/8/19,2019-04-08,2019,Diptera
CASENT9131442,F7,CAS_P33,Diptera,Tabanidae,Tabanus,sp.,8/4/16,2016-08-04,2016,Diptera
CASENT9132649,G7,CAS_P33,Trichoptera,Limnephilidae,Psychoglypha,sp.,5/9/18,2018-05-09,2018,Trichoptera
CASENT9131866,H7,CAS_P33,Trichoptera,Limnephilidae,Psychoglypha,sp.,8/3/16,2016-08-03,2016,Trichoptera
CASENT9131183,A8,CAS_P33,Trichoptera,Odontoceridae,Nerophilus,californicus,3/3/17,2017-03-03,2017,Trichoptera
CASENT9131601,B8,CAS_P33,Plecoptera,Perlodidae,Isoperla,sp.,4/8/15,2015-04-08,2015,Plecoptera
CASENT9132416,C8,CAS_P33,Plecoptera,Perlodidae,Isoperla,pinta,4/8/15,2015-04-08,2015,Plecoptera
CASENT9131914,D8,CAS_P33,Ephemeroptera,Ephemerellidae,Drunella,flavilinea,4/8/15,2015-04-08,2015,Ephemeroptera
CASENT9132441,E8,CAS_P33,Hemiptera,Nepidae,Ranatra,brevicollis,7/20/82,1982-07-20,1982,Hemiptera
CASENT9132951,F8,CAS_P33,Trichoptera,Rhyacophilidae,Rhyacophila,sp.,4/8/15,2015-04-08,2015,Trichoptera
CASENT9131587,G8,CAS_P33,Diptera,Tabanidae,Tabanus,sp.,9/30/16,2016-09-30,2016,Diptera
CASENT9131884,H8,CAS_P33,Odonata,Aeshnidae,Aeshna,sp.,9/30/16,2016-09-30,2016,Odonata
CASENT9131620,A9,CAS_P33,Trichoptera,Glossosomatidae,Glossosoma,pterna,1/2/1983,2019-01-02,2019,Trichoptera
CASENT9131522,B9,CAS_P33,Trichoptera,Hydropsychidae,Symphitopsyche,sp.,8/23/1982,2019-08-23,2019,Trichoptera
CASENT9132495,C9,CAS_P33,Trichoptera,Hydropsychidae,Symphitopsyche,sp.,8/23/1982,2019-08-23,2019,Trichoptera
CASENT9131544,D9,CAS_P33,Trichoptera,Hydropsychidae,Symphitopsyche,sp.,8/23/1982,2019-08-23,2019,Trichoptera
CASENT9131617,E9,CAS_P33,Trichoptera,Hydropsychidae,Symphitopsyche,sp.,8/23/1982,2019-08-23,2019,Trichoptera
CASENT9131568,F9,CAS_P33,Ephemeroptera,Heptageniidae,Ironodes,nitidus,5/22/1980,2019-05-22,2019,Ephemeroptera
CASENT9131709,G9,CAS_P33,Ephemeroptera,Heptageniidae,Ironodes,nitidus,5/4/1983,2019-05-04,2019,Ephemeroptera
CASENT9131559,H9,CAS_P33,Ephemeroptera,Heptageniidae,Ironodes,nitidus,5/4/1983,2019-05-04,2019,Ephemeroptera
CASENT9131800,A10,CAS_P33,Trichoptera,Rhyacophilidae,Rhyacophila,norcuta,9/30/1983,2019-09-30,2019,Trichoptera
CASENT9131567,B10,CAS_P33,Trichoptera,Philopotamidae,Dolophilodes,novusamericanus,5/9/1983,2019-05-09,2019,Trichoptera
CASENT9131455,C10,CAS_P33,Diptera,Tabanidae,Tabanus,sp.,9/9/08,2008-09-09,2008,Diptera
CASENT9131922,D10,CAS_P33,Diptera,Tabanidae,Tabanus,sp.,7/2/05,2005-07-02,2005,Diptera
CASENT9132857,E10,CAS_P33,Diptera,Muscidae,Limnophora,aequifrons,6/27/80,1980-06-27,1980,Diptera
CASENT9132449,F10,CAS_P33,Diptera,Chaoboridae,Chaoborus,sp.,4/10/15,2015-04-10,2015,Diptera
CASENT9131718,A1,CAS_P31,Diptera,Ceratopogonidae,Probezzia,sp.,3/9/17,2017-03-09,2017,Diptera
CASENT9132913,B1,CAS_P31,Diptera,Ceratopogonidae,Probezzia,sp.,10/1/10,2010-10-01,2010,Diptera
CASENT9131657,C1,CAS_P31,Diptera,Ceratopogonidae,Probezzia,sp.,1/10/83,1983-01-10,1983,Diptera
CASENT9132414,D1,CAS_P31,Diptera,Ceratopogonidae,Dasyhelea,sp.,9/26/82,1982-09-26,1982,Diptera
CASENT9131857,E1,CAS_P31,Diptera,Ceratopogonidae,NA,NA,1/7/09,2009-01-07,2009,Diptera
CASENT9131463,F1,CAS_P31,Diptera,Ceratopogonidae,NA,NA,5/7/08,2008-05-07,2008,Diptera
CASENT9131917,G1,CAS_P31,Diptera,Ceratopogonidae,Forcipomyia,sp.,4/24/99,1999-04-24,1999,Diptera
CASENT9131869,H1,CAS_P31,Diptera,Ceratopogonidae,Forcipomyia,sp.,11/6/04,2004-11-06,2004,Diptera
CASENT9132527,A2,CAS_P31,Diptera,Ceratopogonidae,Monohelea,sp.,7/5/80,1980-07-05,1980,Diptera
CASENT9131737,B2,CAS_P31,Diptera,Ceratopogonidae,Monohelea,sp.,10/1/10,2010-10-01,2010,Diptera
CASENT9131771,C2,CAS_P31,Diptera,Psychodidae,Pericoma,sp.,5/11/16,2016-05-11,2016,Diptera
CASENT9131571,D2,CAS_P31,Diptera,Psychodidae,Pericoma,sp.,4/5/18,2018-04-05,2018,Diptera
CASENT9131847,E2,CAS_P31,Diptera,Psychodidae,Psychoda,sp.,5/25/09,2009-05-25,2009,Diptera
CASENT9131604,F2,CAS_P31,Diptera,Psychodidae,Psychoda,sp.,4/5/18,2018-04-05,2018,Diptera
CASENT9130638,G2,CAS_P31,Diptera,Psychodidae,Psychoda,sp.,5/1/18,2018-05-01,2018,Diptera
CASENT9131888,H2,CAS_P31,Diptera,Muscidae,Limnophora,sp.,2/11/08,2008-02-11,2008,Diptera
CASENT9131445,A3,CAS_P31,Diptera,Ephydridae,Paralimna,sp.,10/7/10,2010-10-07,2010,Diptera
CASENT9131457,B3,CAS_P31,Diptera,Empididae,Wiedemannia,sp.,8/3/11,2011-08-03,2011,Diptera
CASENT9131536,C3,CAS_P31,Diptera,Empididae,Wiedemannia,sp.,8/8/11,2011-08-08,2011,Diptera
CASENT9131443,D3,CAS_P31,Diptera,Empididae,Wiedemannia,sp.,7/22/14,2014-07-22,2014,Diptera
CASENT9131465,E3,CAS_P31,Diptera,Empididae,Wiedemannia,sp.,7/30/14,2014-07-30,2014,Diptera
CASENT9131846,F3,CAS_P31,Diptera,Psychodidae,Telmatoscopus,sp.,6/9/09,2009-06-09,2009,Diptera
CASENT9131864,G3,CAS_P31,Diptera,Psychodidae,Telmatoscopus,sp.,1/28/19,2019-01-28,2019,Diptera
CASENT9131863,H3,CAS_P31,Diptera,Ephydridae,NA,NA,10/1/10,2010-10-01,2010,Diptera
CASENT9131720,A4,CAS_P31,Diptera,Ephydridae,NA,NA,10/15/10,2010-10-15,2010,Diptera
CASENT9132733,B4,CAS_P31,Diptera,Ephydridae,NA,NA,7/23/12,2012-07-23,2012,Diptera
CASENT9132258,C4,CAS_P31,Diptera,Brachystomatidae,Boreodromia,monogramma,6/30/11,2011-06-30,2011,Diptera
CASENT9131949,D4,CAS_P31,Diptera,Ceratopogonidae,Monohelea,sp.,5/10/16,2016-05-10,2016,Diptera
CASENT9131511,E4,CAS_P31,Diptera,Ephydridae,Setacera,sp.,7/4/05,2005-07-04,2005,Diptera
CASENT9131848,F4,CAS_P31,Diptera,Ephydridae,Ephydra,sp.,5/30/83,1983-05-30,1983,Diptera
CASENT9131464,G4,CAS_P31,Diptera,Ephydridae,Ephydra,sp.,10/29/81,1981-10-29,1981,Diptera
CASENT9131812,H4,CAS_P31,Diptera,Mycetophilidae,NA,NA,7/5/1980,2019-07-05,2019,Diptera
CASENT9132810,A5,CAS_P31,Diptera,Mycetophilidae,NA,NA,7/5/1980,2019-07-05,2019,Diptera
CASENT9131729,B5,CAS_P31,Diptera,Mycetophilidae,NA,NA,7/5/1980,2019-07-05,2019,Diptera
CASENT9131734,C5,CAS_P31,Diptera,Dolichopodidae,NA,NA,7/23/12,2012-07-23,2012,Diptera
CASENT9131612,D5,CAS_P31,Diptera,Dolichopodidae,NA,NA,4/6/06,2006-04-06,2006,Diptera
CASENT9131849,E5,CAS_P31,Diptera,Dolichopodidae,Dolichopus,sp.,5/8/15,2015-05-08,2015,Diptera
CASENT9131875,F5,CAS_P31,Diptera,Tabanidae,Tabanus,sp.,2/17/06,2006-02-17,2006,Diptera
CASENT9131565,G5,CAS_P31,Diptera,Psychodidae,Maruina,lanceolata,7/4/05,2005-07-04,2005,Diptera
CASENT9132187,H5,CAS_P31,Diptera,Psychodidae,Maruina,lanceolata,9/16/06,2006-09-16,2006,Diptera
CASENT9131807,A6,CAS_P31,Diptera,Psychodidae,Maruina,lanceolata,3/17/16,2016-03-17,2016,Diptera
CASENT9132101,B6,CAS_P31,Diptera,Psychodidae,Maruina,lanceolata,5/5/16,2016-05-05,2016,Diptera
CASENT9131795,C6,CAS_P31,Diptera,Empididae,Hemerodromia,empiformis,10/7/10,2010-10-07,2010,Diptera
CASENT9132562,D6,CAS_P31,Diptera,Empididae,Hemerodromia,empiformis,10/15/10,2010-10-15,2010,Diptera
CASENT9131970,E6,CAS_P31,Diptera,Ephydridae,Ephydra,sp.,6/3/05,2005-06-03,2005,Diptera
CASENT9131448,F6,CAS_P31,NA,Oreogetonidae,Oreogeton,sp.,5/3/16,2016-05-03,2016,NA
CASENT9132201,G6,CAS_P31,Diptera,Brachystomatidae,Boreodromia,sp.,6/16/17,2017-06-16,2017,Diptera
CASENT9131296,H6,CAS_P31,Diptera,Stratiomyidae,Caloparyphus,sp.,7/23/12,2012-07-23,2012,Diptera
CASENT9132267,A7,CAS_P31,Diptera,Stratiomyidae,Caloparyphus,sp.,7/24/12,2012-07-24,2012,Diptera
CASENT9131063,B7,CAS_P31,Diptera,Stratiomyidae,Caloparyphus,sp.,11/1/18,2018-11-01,2018,Diptera
CASENT9130272,C7,CAS_P31,Diptera,Dixidae,Dixa,chilensis,7/29/80,1980-07-29,1980,Diptera
CASENT9130800,D7,CAS_P31,Diptera,Dixidae,Dixella,sp.,3/30/83,1983-03-30,1983,Diptera
CASENT9131286,E7,CAS_P31,Diptera,Dixidae,Dixa,sp.,6/5/19,2019-06-05,2019,Diptera
CASENT9132114,F7,CAS_P31,Diptera,Dixidae,Dixa,sp.,5/7/19,2019-05-07,2019,Diptera
CASENT9130012,G7,CAS_P31,Diptera,Dixidae,Dixa,sp.,4/19/19,2019-04-19,2019,Diptera
CASENT9132705,H7,CAS_P31,Diptera,Dixidae,Dixa,sp.,4/18/19,2019-04-18,2019,Diptera
CASENT9131558,A8,CAS_P31,Diptera,Psychodidae,Maruina,lanceolata,4/8/19,2019-04-08,2019,Diptera
CASENT9132391,B8,CAS_P31,Diptera,Psychodidae,Maruina,lanceolata,5/11/16,2016-05-11,2016,Diptera
CASENT9131910,C8,CAS_P31,Diptera,Psychodidae,Maruina,lanceolata,5/5/16,2016-05-05,2016,Diptera
CASENT9131778,D8,CAS_P31,Diptera,Psychodidae,Maruina,lanceolata,5/25/09,2009-05-25,2009,Diptera
CASENT9131292,E8,CAS_P31,Diptera,Dixidae,Meringodixa,sp.,8/4/16,2016-08-04,2016,Diptera
CASENT9130084,F8,CAS_P31,Diptera,Dixidae,Meringodixa,sp.,5/27/16,2016-05-27,2016,Diptera
CASENT9130263,G8,CAS_P31,Diptera,Dixidae,Meringodixa,sp.,5/3/16,2016-05-03,2016,Diptera
CASENT9130096,H8,CAS_P31,Diptera,Dixidae,Meringodixa,sp.,6/3/97,1997-06-03,1997,Diptera
CASENT9131477,A9,CAS_P31,Diptera,Dixidae,Dixella,sp.,5/8/19,2019-05-08,2019,Diptera
CASENT9130506,B9,CAS_P31,Diptera,Dixidae,Dixella,sp.,4/18/19,2019-04-18,2019,Diptera
CASENT9130836,C9,CAS_P31,Diptera,Dixidae,Dixella,sp.,4/18/19,2019-04-18,2019,Diptera
CASENT9131480,D9,CAS_P31,Diptera,Dixidae,Dixella,sp.,4/5/17,2017-04-05,2017,Diptera
CASENT9131475,E9,CAS_P31,Trichoptera,Lepidostomatidae,Lepidostoma,cinereum,7/20/82,1982-07-20,1982,Trichoptera
CASENT9131622,F9,CAS_P31,Plecoptera,Capniidae,Mesocapnia,projecta,3/10/17,2017-03-10,2017,Plecoptera
CASENT9131700,G9,CAS_P31,Plecoptera,Leuctridae,Paraleuctra,vershina,3/10/17,2017-03-10,2017,Plecoptera
CASENT9131547,H9,CAS_P31,Plecoptera,Capniidae,Mesocapnia,projecta,3/10/17,2017-03-10,2017,Plecoptera
CASENT9130098,A10,CAS_P31,Plecoptera,Nemouridae,Malenka,depressa,3/10/17,2017-03-10,2017,Plecoptera
CASENT9132282,B10,CAS_P31,Plecoptera,Nemouridae,Zapada,frigida,3/10/17,2017-03-10,2017,Plecoptera
CASENT9131083,C10,CAS_P31,Plecoptera,Leuctridae,Paraleuctra,vershina,3/10/17,2017-03-10,2017,Plecoptera
CASENT9132316,D10,CAS_P31,Plecoptera,Nemouridae,Malenka,depressa,3/3/17,2017-03-03,2017,Plecoptera
CASENT9131529,E10,CAS_P31,Trichoptera,Hydropsychidae,Homoplectra,norada,3/3/17,2017-03-03,2017,Trichoptera
CASENT9130436,F10,CAS_P31,Trichoptera,Hydropsychidae,Homoplectra,norada,3/3/17,2017-03-03,2017,Trichoptera
CASENT9132516,G10,CAS_P31,Plecoptera,Nemouridae,Nemoura,spiniloba,3/3/17,2017-03-03,2017,Plecoptera
CASENT9131471,H10,CAS_P31,Plecoptera,Capniidae,Capnia,excavata,3/3/17,2017-03-03,2017,Plecoptera
CASENT9131131,A11,CAS_P31,Trichoptera,Philopotamidae,Dolophilodes,sp.,1/31/17,2017-01-31,2017,Trichoptera
CASENT9131770,B11,CAS_P31,Diptera,Simuliidae,Simulium,sp.,1/31/17,2017-01-31,2017,Diptera
CASENT9131895,C11,CAS_P31,Ephemeroptera,Ameletidae,Ameletus,sp.,1/31/17,2017-01-31,2017,Ephemeroptera
CASENT9132290,D11,CAS_P31,Plecoptera,Taeniopterygidae,Oemopteryx,vanduzeea,1/31/17,2017-01-31,2017,Plecoptera
CASENT9131887,E11,CAS_P31,Plecoptera,Taeniopterygidae,Oemopteryx,vanduzeea,1/31/17,2017-01-31,2017,Plecoptera
CASENT9132502,F11,CAS_P31,Plecoptera,Chloroperlidae,Sweltsa,sp.,9/30/16,2016-09-30,2016,Plecoptera
CASENT9131972,G11,CAS_P31,Coleoptera,Elmidae,Optioservus,sp.,9/30/16,2016-09-30,2016,Coleoptera
CASENT9130267,H11,CAS_P31,Megaloptera,Sialidae,Sialis,sp.,9/30/16,2016-09-30,2016,Megaloptera
CASENT9131085,A12,CAS_P31,Ephemeroptera,Baetidae,Baetis,alius,NA,NA,NA,Ephemeroptera
CASENT9131304,B12,CAS_P31,Plecoptera,Capniidae,Mesocapnia,projecta,NA,NA,NA,Plecoptera
CASENT9130312,C12,CAS_P31,Plecoptera,Capniidae,Capnia,sp.,NA,NA,NA,Plecoptera
CASENT9130358,D12,CAS_P31,Plecoptera,Capniidae,Capnia,sp.,1/30/15,2015-01-30,2015,Plecoptera
CASENT9131254,E12,CAS_P31,Ephemeroptera,Baetidae,Baetis,tricaudatus,1/30/15,2015-01-30,2015,Ephemeroptera
CASENT9130353,F12,CAS_P31,Ephemeroptera,Baetidae,Baetis,alius,1/30/15,2015-01-30,2015,Ephemeroptera
23S734,A1,CDFA_P1,Diptera (Brachycera),Tephritidae,Trupanea,signata,45100,2023-06-23,2023,Diptera
23S735,A2,CDFA_P1,Diptera (Brachycera),Tephritidae,Terellia,occidentalis,45154,2023-08-16,2023,Diptera
23S737,A3,CDFA_P1,Diptera (Brachycera),Pallopteridae,Toxonevra,jucunda,45154,2023-08-16,2023,Diptera
23S738,A4,CDFA_P1,Diptera (Brachycera),Tephritidae,Rhagoletis,juniperina,45154,2023-08-16,2023,Diptera
23S739,A5,CDFA_P1,Diptera (Brachycera),Tephritidae,Campiglossa,jamesi,45154,2023-08-16,2023,Diptera
23S740,A6,CDFA_P1,Diptera (Brachycera),Tephritidae,Campiglossa,jamesi,45154,2023-08-16,2023,Diptera
23S741,A7,CDFA_P1,Diptera (Brachycera),Tephritidae,Campiglossa,farinata,45154,2023-08-16,2023,Diptera
23S742,A8,CDFA_P1,Diptera (Brachycera),Tephritidae,Campiglossa,farinata,45154,2023-08-16,2023,Diptera
23S652,A9,CDFA_P1,Diptera (Brachycera),Tephritidae,Aciurina,thoracica,45105,2023-06-28,2023,Diptera
23S812,A10,CDFA_P1,Diptera (Brachycera),Tephritidae,Euaresta,stigmatica,42891,2017-06-05,2017,Diptera
23S811,A11,CDFA_P1,Diptera (Brachycera),Tephritidae,Euaresta,stigmatica,42891,2017-06-05,2017,Diptera
23S813,A12,CDFA_P1,Diptera (Brachycera),Tephritidae,Trupanea,radifera,NA,NA,NA,Diptera
23S648,B1,CDFA_P1,Diptera (Brachycera),Tephritidae,Trupanea,femoralis,45044,2023-04-28,2023,Diptera
23S594,B2,CDFA_P1,Diptera (Brachycera),Tephritidae,Paracantha,cultaris,45116,2023-07-09,2023,Diptera
23S458,B3,CDFA_P1,Diptera (Brachycera),Conopidae,Dalmannia,vitiosa,45100,2023-06-23,2023,Diptera
