"catalog","order","family","genus","species","date","dates_corr","year","orders"
"CASENT9101455","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","debilis","11/7/14",2014-11-07,"2014","Ephemeroptera"
"CASENT9101460","Ephemeroptera","Isonychiidae","Isonychia","velma","11/7/14",2014-11-07,"2014","Ephemeroptera"
"CASENT9101443","Plecoptera","Perlidae","Hesperoperla","hoguei","10/11/14",2014-10-11,"2014","Plecoptera"
"CASLOT059860","Plecoptera","Leuctridae","Despaxia","augusta","11/17/14",2014-11-17,"2014","Plecoptera"
"CASLOT059853","Plecoptera","Capniidae","Mesocapnia","projecta","11/17/14",2014-11-17,"2014","Plecoptera"
"CASENT9101478","Trichoptera","Philopotamidae","Dolophilodes","novusamericanus","11/17/14",2014-11-17,"2014","Trichoptera"
"CASENT9101471","Plecoptera","Capniidae","Isocapnia","mogila","1/30/15",2015-01-30,"2015","Plecoptera"
"CASLOT059849","Plecoptera","Perlidae","Calineuria","californica","1/30/15",2015-01-30,"2015","Plecoptera"
"CASLOT059854","Ephemeroptera","Heptageniidae","Rhithrogena","sp.","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASLOT059855","Ephemeroptera","Heptageniidae","Epeorus","longimanus","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASLOT059846","Ephemeroptera","Baetidae","Baetis","tricaudatus","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASENT9101479","Ephemeroptera","Ameletidae","Ameletus","sp.","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASENT9101474","Plecoptera","Leuctridae","Despaxia","augusta","1/30/15",2015-01-30,"2015","Plecoptera"
"CASLOT059856","Ephemeroptera","Heptageniidae","Epeorus","longimanus","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASLOT059847","Ephemeroptera","Baetidae","Baetis","tricaudatus","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASLOT059851","Diptera","Simuliidae","Prosimulium","sp.","1/30/15",2015-01-30,"2015","Diptera"
"CASENT9101467","Ephemeroptera","Ephemerellidae","Drunella","flavilinea","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASENT9101477","Diptera","Blephariceridae","Blepharicera","jordani","1/30/15",2015-01-30,"2015","Diptera"
"CASLOT059861","Trichoptera","Glossosomatidae","Glossosoma","sp.",NA,NA,NA,"Trichoptera"
"CASENT9101472","Plecoptera","Capniidae","Mesocapnia","projecta","1/30/15",2015-01-30,"2015","Plecoptera"
"CASENT9101475","Plecoptera","Leuctridae","Despaxia","augusta","1/30/15",2015-01-30,"2015","Plecoptera"
"CASENT9101476","Plecoptera","Leuctridae","Calileuctra","ephemera","1/30/15",2015-01-30,"2015","Plecoptera"
"CASENT9101473","Plecoptera","Capniidae","Capnia","ventura complex","1/30/15",2015-01-30,"2015","Plecoptera"
"CASLOT059848","Ixodida","Ixodidae","Ixodes","pacificus","1/30/15",2015-01-30,"2015","Ixodida"
"CASENT9101466","Ixodida","Ixodidae","Dermacentor","occidentalis","1/30/15",2015-01-30,"2015","Ixodida"
"CASENT9101469","Plecoptera","Perlodidae","Osobenus","yakimae","1/30/15",2015-01-30,"2015","Plecoptera"
"CASLOT059850","Plecoptera","Perlidae","Calineuria","californica","1/30/15",2015-01-30,"2015","Plecoptera"
"CASLOT059857","Ephemeroptera","Heptageniidae","Ironodes","sp.","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASLOT059858","Ephemeroptera","Heptageniidae","Rhithrogena","sp.","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASLOT059859","Ephemeroptera","Heptageniidae","Epeorus","longimanus","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASENT9101468","Ephemeroptera","Ephemerellidae","Drunella","flavilinea","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASLOT059852","Diptera","Simuliidae","Simulium","sp.","1/30/15",2015-01-30,"2015","Diptera"
"CASENT9101481","Plecoptera","Pteronarcyidae","Pteronarcys","californica","1/30/15",2015-01-30,"2015","Plecoptera"
"CASENT9101480","Trichoptera","Limnephilidae","Onocosmoecus","unicolor",NA,NA,NA,"Trichoptera"
"CASENT9101470","Plecoptera","Perlodidae","Isoperla","pinta",NA,NA,NA,"Plecoptera"
"CASENT9131598","Ephemeroptera","Ameletidae","Ameletus","sp.",NA,NA,NA,"Ephemeroptera"
"CASENT9132411","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","sp.",NA,NA,NA,"Ephemeroptera"
"CASENT9132632","Hemiptera","Corixidae","Sigara","mckinstryi",NA,NA,NA,"Hemiptera"
"CASENT9131672","Ephemeroptera","Ephemerellidae","Ephemerella","excrucians",NA,NA,NA,"Ephemeroptera"
"CASENT9131085","Ephemeroptera","Baetidae","Baetis","alius",NA,NA,NA,"Ephemeroptera"
"CASENT9131304","Plecoptera","Capniidae","Mesocapnia","projecta",NA,NA,NA,"Plecoptera"
"CASENT9130312","Plecoptera","Capniidae","Capnia","sp.",NA,NA,NA,"Plecoptera"
"CASENT9132402",NA,NA,"Ischnura","sp.",NA,NA,NA,NA
"CASENT9130358","Plecoptera","Capniidae","Capnia","sp.","1/30/15",2015-01-30,"2015","Plecoptera"
"CASENT9131254","Ephemeroptera","Baetidae","Baetis","tricaudatus","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASENT9130353","Ephemeroptera","Baetidae","Baetis","alius","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASENT9131768","Plecoptera","Capniidae","Capnia","sp.","1/30/15",2015-01-30,"2015","Plecoptera"
"CASENT9131891","Plecoptera","Chloroperlidae","Sweltsa","sp.","1/30/15",2015-01-30,"2015","Plecoptera"
"CASENT9131793","Ephemeroptera","Ameletidae","Ameletus","sp.","1/30/15",2015-01-30,"2015","Ephemeroptera"
"CASENT9132248","Plecoptera","Capniidae","Mesocapnia","projecta","1/30/15",2015-01-30,"2015","Plecoptera"
"CASENT9131675","Plecoptera","Leuctridae","Calileuctra","ephemera","1/3/15",2015-01-03,"2015","Plecoptera"
"CASENT9131773","Plecoptera","Capniidae","Mesocapnia","projecta","1/3/15",2015-01-03,"2015","Plecoptera"
"CASENT9132752","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","helena","11/24/14",2014-11-24,"2014","Ephemeroptera"
"CASENT9131967","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","helena","11/7/14",2014-11-07,"2014","Ephemeroptera"
"CASENT9132499","Trichoptera","Limnephilidae","Lenarchus","sp.",NA,NA,NA,"Trichoptera"
"CASENT9131890","Plecoptera","Nemouridae","Malenka","sp.",NA,NA,NA,"Plecoptera"
"CASENT9132787","Plecoptera","Leuctridae","Paraleuctra","divisa",NA,NA,NA,"Plecoptera"
"CASENT9131285","Plecoptera","Chloroperlidae","Suwallia","sp.","4/8/15",2015-04-08,"2015","Plecoptera"
"CASENT9130075","Ephemeroptera","Leptohyphidae","Tricorythodes","explicatus","4/8/15",2015-04-08,"2015","Ephemeroptera"
"CASENT9131601","Plecoptera","Perlodidae","Isoperla","sp.","4/8/15",2015-04-08,"2015","Plecoptera"
"CASENT9132416","Plecoptera","Perlodidae","Isoperla","pinta","4/8/15",2015-04-08,"2015","Plecoptera"
"CASENT9130439","Plecoptera","Perlidae","Calineuria","californica","4/8/15",2015-04-08,"2015","Plecoptera"
"CASENT9131914","Ephemeroptera","Ephemerellidae","Drunella","flavilinea","4/8/15",2015-04-08,"2015","Ephemeroptera"
"CASENT9131543","Ephemeroptera","Ephemerellidae","Ephemerella","maculata","4/8/15",2015-04-08,"2015","Ephemeroptera"
"CASENT9130467","Ephemeroptera","Ephemerellidae","Ephemerella","tibialis","4/8/15",2015-04-08,"2015","Ephemeroptera"
"CASENT9132563","Ephemeroptera","Ephemerellidae","Matriella","teresa","4/8/15",2015-04-08,"2015","Ephemeroptera"
"CASENT9132160","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","sp.","4/8/15",2015-04-08,"2015","Ephemeroptera"
"CASENT9131894","Trichoptera","Polycentropodidae","Polycentropus","sp.","4/8/15",2015-04-08,"2015","Trichoptera"
"CASENT9132519","Trichoptera","Philopotamidae","Wormaldia","sp.","4/8/15",2015-04-08,"2015","Trichoptera"
"CASENT9131535","Trichoptera","Hydropsychidae","Hydropsyche","sp.","4/8/15",2015-04-08,"2015","Trichoptera"
"CASENT9132951","Trichoptera","Rhyacophilidae","Rhyacophila","sp.","4/8/15",2015-04-08,"2015","Trichoptera"
"CASENT9132704","Trichoptera","Rhyacophilidae","Rhyacophila","vedra","4/8/15",2015-04-08,"2015","Trichoptera"
"CASENT9131090","Ephemeroptera","Baetidae","Baetis","tricaudatus","4/8/15",2015-04-08,"2015","Ephemeroptera"
"CASENT9132305","Megaloptera","Corydalidae","Neohermes","sp.","4/8/15",2015-04-08,"2015","Megaloptera"
"CASENT9131828","Diptera","Empididae","Wiedemannia","sp.","4/8/15",2015-04-08,"2015","Diptera"
"CASENT9131772","Diptera","Simuliidae","Simulium","sp.","4/8/15",2015-04-08,"2015","Diptera"
"CASENT9130354","Diptera","Simuliidae","Simulium","canadense","4/8/15",2015-04-08,"2015","Diptera"
"CASLOT060508","Diptera","Simuliidae","Simulium","hippovorum","4/8/15",2015-04-08,"2015","Diptera"
"CASLOT060509","Plecoptera","Perlodidae","Kogotus","nonus","3/26/15",2015-03-26,"2015","Plecoptera"
"CASLOT060510","Ephemeroptera","Ephemerellidae","Drunella","coloradensis","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASLOT060511","Ephemeroptera","Heptageniidae","Epeorus","sp.","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASENT9095428","Plecoptera","Nemouridae","Malenka","sp.","3/26/15",2015-03-26,"2015","Plecoptera"
"CASLOT060512","Trichoptera","Philopotamidae","Dolophilodes","sp.","3/26/15",2015-03-26,"2015","Trichoptera"
"CASLOT060513","Trichoptera","Rhyacophilidae","Rhyacophila","angelita","3/26/15",2015-03-26,"2015","Trichoptera"
"CASLOT060514","Plecoptera","Chloroperlidae","Sweltsa","sp.","3/26/15",2015-03-26,"2015","Plecoptera"
"CASENT9095429","Megaloptera","Corydalidae","Neohermes","sp.","3/26/15",2015-03-26,"2015","Megaloptera"
"CASENT9095430","Coleoptera","Elmidae","Narpus","angustus","3/26/15",2015-03-26,"2015","Coleoptera"
"CASLOT060515","Ephemeroptera","Baetidae","Baetis","tricaudatus","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASENT9101465","Trichoptera","Hydropsychidae","Hydropsyche","sp.","1/30/15",2015-01-30,"2015","Trichoptera"
"CASLOT060516","Ephemeroptera","Baetidae","Baetis","alius","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASENT9095431","Plecoptera","Perlidae","Calineuria","californica","3/26/15",2015-03-26,"2015","Plecoptera"
"CASLOT059863","Plecoptera","Perlidae","Hesperoperla","pacifica","3/26/15",2015-03-26,"2015","Plecoptera"
"CASLOT059864","Plecoptera","Pteronarcyidae","Pteronarcys","californica","3/26/15",2015-03-26,"2015","Plecoptera"
"CASENT9095432","Plecoptera","Perlodidae","Isoperla","sp.","3/26/15",2015-03-26,"2015","Plecoptera"
"CASLOT060517","Trichoptera","Rhyacophilidae","Rhyacophila","sp.","3/26/15",2015-03-26,"2015","Trichoptera"
"CASENT9095433","Trichoptera","Rhyacophilidae","Rhyacophila","angelita","3/26/15",2015-03-26,"2015","Trichoptera"
"CASLOT060518","Trichoptera","Rhyacophilidae","Rhyacophila","sp.","3/26/15",2015-03-26,"2015","Trichoptera"
"CASLOT060519","Ephemeroptera","Ephemerellidae","Drunella","coloradensis","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASLOT060520","Trichoptera","Hydropsychidae","Hydropsyche","sp.","3/26/15",2015-03-26,"2015","Trichoptera"
"CASLOT060521","Trichoptera","Hydropsychidae","Hydropsyche","sp.","3/26/15",2015-03-26,"2015","Trichoptera"
"CASLOT060522","Coleoptera","Psephenidae","Psephenus","falli","3/26/15",2015-03-26,"2015","Coleoptera"
"CASLOT060523","Coleoptera","Elmidae","Optioservus","quadrimaculatus","3/26/15",2015-03-26,"2015","Coleoptera"
"CASENT9095434","Megaloptera","Corydalidae","Neohermes","filicornis","3/26/15",2015-03-26,"2015","Megaloptera"
"CASLOT060524","Ephemeroptera","Heptageniidae","Epeorus","longimanus","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASLOT060525","Ephemeroptera","Heptageniidae","Rhithrogena","morrisoni","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASENT9095435","Ephemeroptera","Heptageniidae","Ironodes","sp.","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASLOT060526","Ephemeroptera","Baetidae","Baetis","alius","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASENT9095436","Ephemeroptera","Heptageniidae","Cinygmula","sp.","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASENT9095437","Ephemeroptera","Ameletidae","Ameletus","sp.","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASENT9095438","Plecoptera","Nemouridae","Malenka","sp.","3/26/15",2015-03-26,"2015","Plecoptera"
"CASLOT059865","Trichoptera","Limnephilidae","Lenarchus","sp.","4/13/15",2015-04-13,"2015","Trichoptera"
"CASLOT060527","Trichoptera","Brachycentridae","Micrasema","dimicki","4/16/15",2015-04-16,"2015","Trichoptera"
"CASENT9095439","Trichoptera","Philopotamidae","Wormaldia","sp.","4/16/15",2015-04-16,"2015","Trichoptera"
"CASENT9095440","Trichoptera","Rhyacophilidae","Rhyacophila","narvae","4/16/15",2015-04-16,"2015","Trichoptera"
"CASLOT060528","Plecoptera","Chloroperlidae","Sweltsa","pisteri","4/16/15",2015-04-16,"2015","Plecoptera"
"CASLOT060529","Ephemeroptera","Baetidae","Fallceon","thermophilos","5/11/15",2015-05-11,"2015","Ephemeroptera"
"CASLOT060530","Ephemeroptera","Baetidae","Fallceon","thermophilos",NA,NA,NA,"Ephemeroptera"
"CASENT9095441","Trichoptera","Hydroptilidae","Leucotrichia","pictipes",NA,NA,NA,"Trichoptera"
"CASLOT060531","Ephemeroptera","Baetidae","Fallceon","thermophilos","5/11/15",2015-05-11,"2015","Ephemeroptera"
"CASLOT060532","Ephemeroptera","Baetidae","Fallceon","thermophilos","5/11/15",2015-05-11,"2015","Ephemeroptera"
"CASENT9095442","Ephemeroptera","Baetidae","Acentrella","turbida","5/11/15",2015-05-11,"2015","Ephemeroptera"
"CASLOT060533","Ephemeroptera","Baetidae","Centroptilum","sp.","5/11/15",2015-05-11,"2015","Ephemeroptera"
"CASLOT060534","Ephemeroptera","Heptageniidae","Nixe","sp.","5/11/15",2015-05-11,"2015","Ephemeroptera"
"CASLOT060535","Ephemeroptera","Baetidae","Baetis","alius","5/11/15",2015-05-11,"2015","Ephemeroptera"
"CASENT9095443","Plecoptera","Pteronarcyidae","Pteronarcys","sp.","5/11/15",2015-05-11,"2015","Plecoptera"
"CASENT9101408","Ephemeroptera","Leptohyphidae","Tricorythodes","explicatus","5/11/15",2015-05-11,"2015","Ephemeroptera"
"CASLOT059806",NA,"Pleuroceridae","Juga","sp.","5/11/15",2015-05-11,"2015",NA
"CASENT9101434","Trichoptera","Brachycentridae","Amiocentrus","aspilus","5/11/15",2015-05-11,"2015","Trichoptera"
"CASENT9101435","Amphipoda","Anisogammaridae","Ramellogammarus","sp.","5/11/15",2015-05-11,"2015","Amphipoda"
"CASLOT059776","Trichoptera","Hydropsychidae","Hydropsyche","sp.","5/11/15",2015-05-11,"2015","Trichoptera"
"CASENT9101404","Coleoptera","Psephenidae","Psephenus","falli","5/11/15",2015-05-11,"2015","Coleoptera"
"CASENT9101399","Coleoptera","Elmidae","Optioservus","quadrimaculatus","5/11/15",2015-05-11,"2015","Coleoptera"
"CASENT9101394","Ephemeroptera","Baetidae","Fallceon","thermophilos","5/13/15",2015-05-13,"2015","Ephemeroptera"
"CASLOT059769","Ephemeroptera","Baetidae","Baetis","alius","5/13/15",2015-05-13,"2015","Ephemeroptera"
"CASLOT059770","Ephemeroptera","Baetidae","Fallceon","thermophilos","5/11/15",2015-05-11,"2015","Ephemeroptera"
"CASENT9101436","Ephemeroptera","Ephemerellidae","Serratella","levis","5/11/15",2015-05-11,"2015","Ephemeroptera"
"CASLOT059800","Ephemeroptera","Baetidae","Centroptilum","bifurcatum","4/16/15",2015-04-16,"2015","Ephemeroptera"
"CASENT9101395","Ephemeroptera","Baetidae","Baetis","alius","5/8/15",2015-05-08,"2015","Ephemeroptera"
"CASENT9101437","Ephemeroptera","Ephemerellidae","Serratella","levis","5/19/15",2015-05-19,"2015","Ephemeroptera"
"CASENT9101396","Ephemeroptera","Baetidae","Acentrella","turbida","5/19/15",2015-05-19,"2015","Ephemeroptera"
"CASLOT059801","Ephemeroptera","Baetidae","Baetis","alius","5/19/15",2015-05-19,"2015","Ephemeroptera"
"CASLOT059802","Ephemeroptera","Baetidae","Fallceon","thermophilos","5/19/15",2015-05-19,"2015","Ephemeroptera"
"CASENT9101397","Ephemeroptera","Baetidae","Fallceon","thermophilos",NA,NA,NA,"Ephemeroptera"
"CASENT9101432","Ephemeroptera","Baetidae","Fallceon","thermophilos",NA,NA,NA,"Ephemeroptera"
"CASENT9101433","Ephemeroptera","Baetidae","Fallceon","thermophilos",NA,NA,NA,"Ephemeroptera"
"CASLOT059803","Ephemeroptera","Baetidae","Diphetor","hageni","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASLOT059804","Ephemeroptera","Baetidae","Baetis","alius","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASLOT059807","Ephemeroptera","Heptageniidae","Rhithrogena","sp.","3/26/15",2015-03-26,"2015","Ephemeroptera"
"CASENT9101405","Coleoptera","Psephenidae","Eubrianax","edwardsi","3/26/15",2015-03-26,"2015","Coleoptera"
"CASENT9101406","Coleoptera","Psephenidae","Psephenus","falli","3/26/15",2015-03-26,"2015","Coleoptera"
"CASLOT059773","Plecoptera","Perlidae","Hesperoperla","pacifica","3/26/15",2015-03-26,"2015","Plecoptera"
"CASLOT059866","Plecoptera","Perlidae","Calineuria","californica","3/26/15",2015-03-26,"2015","Plecoptera"
"CASLOT059771","Coleoptera","Elmidae","Optioservus","quadrimaculatus","3/26/15",2015-03-26,"2015","Coleoptera"
"CASENT9101400","Coleoptera","Elmidae","Ordobrevia","nubifera","3/26/15",2015-03-26,"2015","Coleoptera"
"CASENT9101438","Decapoda","Astacidae","Pacifasticus","leniusculus","3/26/15",2015-03-26,"2015","Decapoda"
"CASENT910439","Odonata","Gomphidae","Ophiogomphus","bison","3/26/15",2015-03-26,"2015","Odonata"
"CASLOT059805","Ephemeroptera","Baetidae","Centroptilum","bifurcatum","5/28/15",2015-05-28,"2015","Ephemeroptera"
"CASLOT059775","Ephemeroptera","Leptohyphidae","Tricorythodes","explicatus","5/28/15",2015-05-28,"2015","Ephemeroptera"
"CASLOT059867","Plecoptera","Pteronarcyidae","Pteronarcys","princeps","6/26/15",2015-06-26,"2015","Plecoptera"
"CASENT9101440","Trichoptera","Rhyacophilidae","Himalopsyche","phryganea","6/26/15",2015-06-26,"2015","Trichoptera"
"CASLOT059868","Plecoptera","Perlidae","Doroneuria","baumanni","6/26/15",2015-06-26,"2015","Plecoptera"
"CASLOT059774","Plecoptera","Perlidae","Calineuria","californica","6/26/15",2015-06-26,"2015","Plecoptera"
"CASENT9101407","Plecoptera","Perlidae","Hesperoperla","pacifica","6/26/15",2015-06-26,"2015","Plecoptera"
"CASLOT059767","Ephemeroptera","Ephemerellidae","Drunella","spinifera","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASLOT059768","Ephemeroptera","Ephemerellidae","Drunella","coloradensis","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASENT9101402","Ephemeroptera","Ephemerellidae","Drunella","pelosa","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASENT9101398","Ephemeroptera","Ephemerellidae","Caudatella","heterocaudata","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASLOT059808","Trichoptera","Glossosomatidae","Glossosoma","sp.","6/26/15",2015-06-26,"2015","Trichoptera"
"CASLOT059772","Trichoptera","Rhyacophilidae","Rhyacophila","sp.","6/26/15",2015-06-26,"2015","Trichoptera"
"CASENT9101403","Trichoptera","Rhyacophilidae","Rhyacophila","sp.","6/26/15",2015-06-26,"2015","Trichoptera"
"CASENT9101409","Trichoptera","Lepidostomatidae","Lepidostoma","cinereum","6/26/15",2015-06-26,"2015","Trichoptera"
"CASENT9101410","Trichoptera","Lepidostomatidae","Lepidostoma","sp.","6/26/15",2015-06-26,"2015","Trichoptera"
"CASLOT059777","Trichoptera","Hydropsychidae","Hydropsyche","sp.","6/26/15",2015-06-26,"2015","Trichoptera"
"CASENT9101441","Trichoptera","Limnephilidae","Dicosmoecus","gilvipes","6/26/15",2015-06-26,"2015","Trichoptera"
"CASENT9101401","Coleoptera","Elmidae","Zaitzevia","parvula","6/26/15",2015-06-26,"2015","Coleoptera"
"CASLOT060536","Ephemeroptera","Heptageniidae","Epeorus","longimanus","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASENT9095444","Ephemeroptera","Heptageniidae","Rhithrogena","sp.","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASENT9095445","Ephemeroptera","Heptageniidae","Ironodes","sp.","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASENT9095446","Ephemeroptera","Heptageniidae","Cinygmula","sp.","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASENT9095447","Ephemeroptera","Heptageniidae","Nixe","sp.","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASENT9095448","Ephemeroptera","Ameletidae","Ameletus","sp.","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASLOT060537","Ephemeroptera","Baetidae","Baetis","tricaudatus","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASLOT060538","Ephemeroptera","Baetidae","Baetis","sp.","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASLOT060539","Ephemeroptera","Ephemerellidae","Serratella","micheneri","6/26/15",2015-06-26,"2015","Ephemeroptera"
"CASLOT060540","Coleoptera","Elmidae","Cleptelmis","ornata","6/26/15",2015-06-26,"2015","Coleoptera"
"CASLOT059869","Trichoptera","Limnephilidae","Hydatophylax","hesperus","11/5/15",2015-11-05,"2015","Trichoptera"
"CASENT9095449","Trichoptera","Calamoceratidae","Heteroplectron","californicum","11/5/15",2015-11-05,"2015","Trichoptera"
"CASENT9095450","Trichoptera","Sericostomatidae","Gumaga","sp.","11/5/15",2015-11-05,"2015","Trichoptera"
"CASLOT060541","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","helena","11/5/15",2015-11-05,"2015","Ephemeroptera"
"CASLOT060542","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","debilis","11/5/15",2015-11-05,"2015","Ephemeroptera"
"CASENT9095451","Odonata","Gomphidae","Ophiogomphus","bison","11/5/15",2015-11-05,"2015","Odonata"
"CASLOT060543","Trichoptera","Lepidostomatidae","Lepidostoma","podagrum","11/5/15",2015-11-05,"2015","Trichoptera"
"CASLOT060544","Ephemeroptera","Leptohyphidae","Tricorythodes","explicatus","11/5/15",2015-11-05,"2015","Ephemeroptera"
"CASENT9095452","Plecoptera","Perlodidae","Isoperla","pinta","11/5/15",2015-11-05,"2015","Plecoptera"
"CASLOT060545",NA,"Pleuroceridae","Juga","sp.","11/5/15",2015-11-05,"2015",NA
"CASLOT060546","Coleoptera","Hydrophilidae","Enochrus","californicus","2/9/04",2004-02-09,"2004","Coleoptera"
"CASLOT060547","Trichoptera","Limnephilidae","Grammotaulius","sp.","1/27/16",2016-01-27,"2016","Trichoptera"
"CASLOT060548","Coleoptera","Hydrophilidae","Helophorus","sp.","1/27/16",2016-01-27,"2016","Coleoptera"
"CASLOT060550","Coleoptera","Dytiscidae","Agabus","sp.","1/27/16",2016-01-27,"2016","Coleoptera"
"CASLOT060551","Coleoptera","Dytiscidae","Agabus","lineellus","1/27/16",2016-01-27,"2016","Coleoptera"
"CASENT9095453","Coleoptera","Dytiscidae","Agabus","lutosus","1/27/16",2016-01-27,"2016","Coleoptera"
"CASENT9095454","Coleoptera","Dytiscidae","Uvarus","subtilus","1/27/16",2016-01-27,"2016","Coleoptera"
"CASLOT060552","Coleoptera","Dytiscidae","Hydroporus","sp.","1/27/16",2016-01-27,"2016","Coleoptera"
"CASENT9131465","Diptera","Empididae","Wiedemannia","sp.","7/30/14",2014-07-30,"2014","Diptera"
"CASLOT060549","Plecoptera","Leuctridae","Calileuctra","ephemera","2/11/16",2016-02-11,"2016","Plecoptera"
"CASLOT060553","Trichoptera","Odontoceridae","Nerophilus","californicus","2/9/16",2016-02-09,"2016","Trichoptera"
"CASLOT060554","Plecoptera","Nemouridae","Malenka","depressa","2/9/16",2016-02-09,"2016","Plecoptera"
"CASLOT060555","Trichoptera","Hydropsychidae","Homoplectra","norada","2/9/16",2016-02-09,"2016","Trichoptera"
"CASLOT060556","Diptera","Sciomyzidae","Dictya","sp.","2/9/16",2016-02-09,"2016","Diptera"
"CASLOT060557","Trichoptera","Hydropsychidae","Homoplectra","norada","2/9/16",2016-02-09,"2016","Trichoptera"
"CASLOT060558","Trichoptera","Odontoceridae","Nerophilus","californicus","2/9/16",2016-02-09,"2016","Trichoptera"
"CASLOT060559","Plecoptera","Nemouridae","Malenka","depressa","2/9/16",2016-02-09,"2016","Plecoptera"
